Term,Tone
above and beyond,P
appreciate,P
appreciated,P
awesome,P
capable,P
cheerfully,P
competent,P
congrats,P
congratulations,P
couldn't do my job without,P
courteous,P
courteousness,P
courtiousness,P
devoted,P
effective,P
empathetic,P
excellent,P
excellent attitude,P
exceptional,P
extra mile,P
fantastic,P
follow-through,P
friendly,P
fun to work with,P
generous,P
goes out of their way,P
gracious,P
graciously,P
great,P
hard work,P
help,P
highlight,P
joy to work with,P
joyful,P
kind,P
knowledgeable,P
love,P
love working with,P
loving,P
many thanks,P
outstanding,P
patient,P
perseverance,P
pleasant,P
pleasure,P
professional,P
prompt,P
quick to respond,P
quicker,P
responsive,P
satisfied,P
shining star,P
skilled,P
solution-oriented,P
super,P
thank you,P
thanks,P
they find out,P
thorough,P
timely,P
very good,P
warm,P
willing,P
again and again,N
appears,N
back and forth,N
bandwidth,N
challenge,N
could conduct,N
could have gotten,N
create excessive,N
did not know what they were doing,N
didn't,N
difficulty,N
disconnect,N
doesn't,N
ended up,N
Enterprise,N
excessively,N
expected time,N
get up to speed,N
glitchy,N
gone down,N
hard time,N
haven't been able to,N
impacted,N
inconvenienced,N
inconvenient,N
inexperience,N
inferior,N
issues,N
little vague,N
many days,N
need to get better,N
needs work,N
negatively,N
not consistently,N
not yet,N
on hold,N
out of date,N
problematic,N
problems,N
really need,N
should strive,N
slow,N
take too long,N
taken months,N
takes many days,N
takes too long,N
too busy,N
too many days,N
unhelpful,N
unnecessarily,N
unresolved,N
vague,N
wasn't efficient,N
well-intentioned,N
would have been nice,N
would like to know,N
